A	1 A
AA	2 AA
AAAABCL	15 ALCAABA
AAAABLM	15 ALABAMA
AAAABNR	14 ARABANA
AAAABNT	17 ANABATA
AAAACNR	15 ARACANA
AAAADNP	14 APADANA
AAAADNV	13 AVADANA
AAAAHIN	14 AHAAINA
AAAAKLM	21 AMALAKA
AAABBC	16 BACABA
AAABBIN	16 BABIANA
AAABBMR	18 BAMBARA
AAABBN	15 BANABA
AAABBRR	15 BARBARA
AAABBU	12 ABABUA
AAABC	12 ABACA
AAABCCR	19 BACCARA
AAABCDM	20 CADAMBA
AAABCEP	17 CAAPEBA
AAABCET	19 ABACATE
AAABCIP	16 PIACABA
AAABCIR	15 ARBACIA
AAABCL	14 CALABA
AAABCLO	19 BACALAO
AAABCLR	16 CALABAR
AAABCMR	19 CARAMBA
AAABCN	16 CANABA
AAABCOR	19 CARABAO
AAABCR	14 BARACA
AAABCS	13 CASABA
AAABCTW	20 CATAWBA
AAABCY	14 ABACAY
AAABDFR	15 ABFARAD
AAABDG	11 GADABA
AAABDGI	12 BADIAGA
AAABDGN	15 BAGANDA
AAABDJ	12 BAJADA
AAABDKN	24 BANDAKA
AAABDLN	16 BANDALA
AAABEFR	14 FABRAEA
AAABELN	15 BALAENA
AAABENS	14 SABAEAN
AAABENZ	14 ZABAEAN
AAABFLL	14 FALBALA
AAABFT	15 AFTABA
AAABGGL	11 BAGGALA
AAABGGR	11 BAGGARA
AAABGLN	14 BANGALA
AAABGUY	11 GUAYABA
AAABHLT	19 BATHALA
AAABHM	17 BAHAMA
AAABHMR	19 ABRAHAM
AAABHRT	19 BHARATA
AAABIKL	20 BAKALAI
AAABILN	14 ALBANIA
AAABILS	11 BASALIA
AAABILX	11 ABAXIAL
AAABINR	14 ARABIAN
AAABIPR	13 PARAIBA
AAABIRR	12 ARARIBA
AAABIS	9 ABASIA
AAABKK	27 KABAKA
AAABKMW	25 WAKAMBA
AAABKNT	26 BATAKAN
AAABKY	19 KABAYA
AAABLLT	16 BALLATA
AAABLLW	14 WALLABA
AAABLM	14 BALAAM
AAABLMM	19 AMBALAM
AAABLMR	16 MALABAR
AAABLNT	18 BALANTA
AAABLR	11 LABARA
AAABLT	14 BALATA
AAABLW	12 BALAWA
AAABM	12 ABAMA
AAABMRS	15 SAMBARA
AAABMST	18 MASTABA
AAABNN	15 BANANA
AAABNNR	17 RABANNA
AAABNR	13 ARABAN
AAABNRU	14 BARAUNA
AAABNS	12 ANABAS
AAABNT	16 BATAAN
AAABORR	16 ARAROBA
AAABR	9 ARABA
AAABRSS	11 BASSARA
AAABRSX	11 ABRAXAS
AAABRT	14 BATARA
AAABRZ	10 BAZAAR
AAABSS	9 ASSBAA
AAABSTT	18 BATATAS
AAABTT	17 BATATA
AAABTU	13 ABATUA
AAACCDT	21 TACCADA
AAACCER	17 ARCACEA
AAACCHZ	19 CACHAZA
AAACCI	14 ACACIA
AAACCIL	16 CACALIA
AAACCIM	19 MAIACCA
AAACCIN	18 ACACIAN
AAACCJO	20 CACAJAO
AAACCLM	20 MALACCA
AAACCLR	17 CARACAL
AAACCM	18 MACACA
AAACCMN	22 CAMACAN
AAACCN	17 CACANA
AAACCR	15 CACARA
AAACCRS	16 CASCARA
AAACCTU	19 CACATUA
AAACDFL	16 FACADAL
AAACDI	12 ACADIA
AAACDIN	16 ACADIAN
AAACDIR	14 ARCADIA
AAACDLU	14 ACAUDAL
AAACDMM	21 MACADAM
AAACDN	15 CANADA
AAACDNR	17 CARANDA
AAACDTU	17 CAUDATA
AAACEER	14 ARACEAE
AAACEHN	19 ACHAEAN
AAACEHT	20 ACHAETA
AAACEM	15 ACMAEA
AAACEN	14 ACAENA
AAACENP	17 PANACEA
AAACERT	17 ACERATA
AAACET	15 ACTAEA
AAACFLT	18 FALCATA
AAACGHU	15 ACHAGUA
AAACGHW	17 WACHAGA
AAACGLU	12 GUALACA
AAACGNN	17 CANANGA
AAACGNR	15 CARANGA
AAACGNY	15 CAGAYAN
AAACHKT	28 CHATAKA
AAACHL	15 ALACHA
AAACHLN	19 CHALANA
AAACHLZ	16 CHALAZA
AAACHNT	22 ACANTHA
AAACHUY	16 AYAHUCA
AAACIJM	16 JAMAICA
AAACIJV	13 VIAJACA
AAACILM	16 MALACIA
AAACIMR	16 CARIAMA
AAACINP	16 ACAPNIA
AAACINR	15 ACRANIA
AAACINT	18 CATAIAN
AAACIP	12 APIACA
AAACIPR	14 CARAIPA
AAACIRR	13 ARACARI
AAACIRS	12 ACRASIA
AAACIRT	16 CATARIA
AAACISS	11 CASASIA
AAACJMR	17 JACAMAR
AAACJN	14 JACANA
AAACJR	12 CARAJA
AAACJRS	13 CARAJAS
AAACLLV	14 CAVALLA
AAACLMN	19 ALMANAC
AAACLNN	18 ALCANNA
AAACLNR	16 ARCANAL
AAACLNS	15 ALASCAN
AAACLNT	19 LANTACA
AAACLP	13 ALPACA
AAACLPP	16 CALAPPA
AAACLPT	18 CATALPA
AAACLRZ	13 ALCAZAR
AAACM	13 CAAMA
AAACMN	17 MACANA
AAACMNP	20 CAMPANA
AAACMNR	19 MARACAN
AAACMNT	22 TAMANAC
AAACMOR	20 ACROAMA
AAACMR	15 MARACA
AAACMRS	16 MASCARA
AAACMT	18 CAMATA
AAACMY	15 MAYACA
AAACN	12 ACANA
AAACNN	16 CANAAN
AAACNNP	19 CAPANNA
AAACNNR	18 CARANNA
AAACNNT	21 TACANAN
AAACNPT	20 CATAPAN
AAACNR	14 ARCANA
AAACNRT	19 NACARAT
AAACNRU	15 ARAUCAN
AAACNRV	16 CARAVAN
AAACNRY	16 CARAYAN
AAACNST	18 CANASTA
AAACNT	17 TACANA
AAACNTT	22 CANTATA
AAACOPT	21 PATACAO
AAACPR	13 CARAPA
AAACPRX	14 CARAPAX
AAACPT	16 PATACA
AAACPY	13 PACAYA
AAACR	10 ARACA
AAACRR	12 CARARA
AAACRRR	14 CARRARA
AAACRST	16 SACATRA
AAACRWY	15 CARAWAY
AAACSTT	19 CATASTA
AAACSV	11 CASAVA
AAADDGY	12 DADAYAG
AAADELM	15 ALAMEDA
AAADELO	15 ALOADAE
AAADENU	13 AUDAEAN
AAADFLR	13 ALADFAR
AAADFRY	13 FARADAY
AAADGGH	13 HAGGADA
AAADGIL	10 ADAGIAL
AAADGIR	10 GADARIA
AAADGJN	13 JANGADA
AAADGK	17 KADAGA
AAADGLN	13 DANAGLA
AAADGNR	13 GRANADA
AAADGNW	14 WAGANDA
AAADGSS	9 DAGASSA
AAADHK	21 ADHAKA
AAADHMM	21 HAMMADA
AAADHMN	20 HAMADAN
